Time,Latitude,Longitude,counts
1746053487.31,0,0,4654.0
1746053489.31,0,0,4604.0
1746053491.29,0,0,4604.0
1746053493.31,0,0,4623.0
1746053495.31,0,0,4693.0
1746053497.36,0,0,4692.0
1746053499.31,0,0,4546.5
1746053501.3,0,0,4546.5
1746053503.31,0,0,4634.5
1746053505.31,0,0,4676.5
1746053507.31,0,0,4585.0
1746053509.31,0,0,4648.0
1746053511.28,0,0,4648.0
1746053513.31,0,0,4628.0
1746053515.31,0,0,4620.0
1746053517.31,0,0,4597.0
1746053519.31,0,0,4655.5
1746053521.29,0,0,4655.5
1746053523.34,0,0,4683.5
1746053525.31,0,0,4697.5
1746053527.31,0,0,4630.5
1746053529.31,0,0,4622.0
1746053531.3,0,0,4622.0
1746053533.31,0,0,4799.0
1746053535.31,0,0,4672.0
1746053537.31,0,0,4804.5
1746053539.31,0,0,4659.5
1746053541.29,0,0,4659.5
1746053543.31,0,0,4708.5
1746053545.31,0,0,4695.0
1746053547.31,0,0,4790.0
1746053549.28,0,0,4790.0
1746053551.32,0,0,4620.0
1746053553.31,0,0,4840.5
1746053555.31,0,0,4701.0
1746053557.31,0,0,4789.0
1746053559.3,0,0,4789.0
1746053561.31,0,0,3767.0
1746053563.31,0,0,1587.0
1746053565.31,0,0,1461.5
1746053567.29,0,0,1461.5
